Countries and areas,Latitude,Longitude,Year,BCG,DTP1,DTP3,Polio3,MCV1,MCV2 (F),HepB3,Hib3,Rota,PCV3,All Immunization Received?
Qatar,25.3548,51.1839,2021,99,99,98,98,99,99,98,98,98,98,Yes
Republic of Korea,35.9078,127.7669,2021,98,98,98,98,98,96,98,98,,98,No
Republic of Moldova,47.4116,28.3699,2021,98,87,87,88,83,92,87,87,60,78,Yes
Romania,45.9432,24.9668,2021,97,95,86,86,86,75,86,86,,85,No
Russian Federation,61.524,105.3188,2021,95,97,97,97,97,96,97,,,89,No
Rwanda,-1.9403,29.8739,2021,89,90,88,88,87,85,88,88,89,88,Yes
Saint Kitts and Nevis,17.3578,-62.783,2021,96,97,96,96,96,94,96,96,,,No
Saint Lucia,13.9094,-60.9789,2021,81,89,80,75,77,66,80,80,,,No
Saint Vincent and the Grenadines,12.9843,-61.2872,2021,99,99,97,99,99,99,97,97,,,No
Samoa,-13.759,-172.1046,2021,92,96,85,80,62,50,85,85,30,3,Yes
San Marino,43.9424,12.4578,2021,,91,90,90,89,81,90,90,,82,No
Sao Tome and Principe,0.1864,6.6131,2021,93,97,97,93,77,69,97,97,78,97,Yes
Saudi Arabia,23.8859,45.0792,2021,94,97,97,97,98,97,97,97,97,97,Yes
Senegal,14.4974,-14.4524,2021,87,87,85,78,87,75,86,86,84,86,Yes
Serbia,44.0165,21.0059,2021,98,97,92,92,78,84,87,92,,87,No
Seychelles,-4.6796,55.492,2021,99,99,94,94,94,86,94,94,98,95,Yes
Sierra Leone,8.4606,-11.7799,2021,74,94,92,90,87,67,92,92,75,90,Yes
Singapore,1.3521,103.8198,2021,98,98,96,96,95,84,96,96,,82,No
Slovakia,48.669,19.699,2021,,97,97,97,95,96,97,97,,97,No
Slovenia,46.1512,14.9955,2021,,92,86,86,95,91,86,86,,58,No
Solomon Islands,-9.6457,160.1562,2021,83,95,87,84,67,40,87,87,75,86,Yes
Somalia,5.1521,46.1996,2021,37,52,42,47,46,4,42,42,,,No
South Africa,-30.5595,22.9375,2021,86,91,86,86,87,82,86,86,85,87,Yes
South Sudan,6.877,31.307,2021,52,51,49,50,49,,49,49,,,No
Spain,40.4637,-3.7492,2021,,96,92,92,95,91,92,91,58,92,No
Sri Lanka,7.8731,80.7718,2021,99,96,96,96,97,97,96,96,,,No
State of Palestine,31.9522,35.2332,2021,99,99,95,95,98,99,95,95,87,95,Yes
Sudan,12.8628,30.2176,2021,80,94,84,85,81,63,84,84,84,85,Yes
Suriname,3.9193,-56.0278,2021,,81,72,72,58,43,72,72,,,No
Sweden,60.1282,18.6435,2021,24,98,98,98,97,91,98,98,84,97,Yes
Switzerland,46.8182,8.2275,2021,,97,96,96,95,94,73,95,,88,No
Syrian Arab Republic,34.8021,38.9968,2021,76,65,48,52,59,53,48,48,,,No
Tajikistan,38.861,71.2761,2021,98,97,97,97,97,96,97,97,97,,No
Thailand,15.87,100.9925,2021,99,99,97,97,96,87,97,76,71,,No
TimorLeste,-8.8742,125.7275,2021,,,,,,,,,,,No
Togo,8.6195,0.8248,2021,98,88,83,81,70,50,83,83,80,83,Yes
Tokelau,-9.2,-171.85,2021,,,,,,,,,,,No
Tonga,-21.1789,-175.1982,2021,99,99,99,99,99,99,99,99,,67,No
Trinidad and Tobago,10.6918,-61.2225,2021,,95,94,94,93,88,94,94,,95,No
Tunisia,33.8869,9.5375,2021,85,99,97,97,95,98,95,97,,96,No
Turkey,38.9637,35.2433,2021,,,,,,,,,,,No
